word	k	p	sqrt_kp	sum	DF
sent	0.324777293994936	0.74242629239847	0.810356150306278	16	13
bursting	9.62072209009542	0.991255741468079	9.67165350288375	12	12
rib	0.10666880636468	0.53813662236098	0.54860665196236	13	9
thunder	0.333002021880996	0.654152431659576	0.734033889151562	25	19
roared	0.166814402536154	0.645655967534384	0.666857311054063	13	10
happened	0.129935973888141	0.535571712582073	0.551108352892926	16	11
strain	0.0808687136387743	0.489004796000088	0.495646486274923	12	8
madness	0.0810730457992071	0.403767728229396	0.41182668334469	17	10
rushed	0.375371348830607	0.791983682118599	0.876436992752499	14	12
lower	0.422849344655956	0.484056674936308	0.642738230406724	64	37
consternation	0.471663317714518	0.870086846850079	0.989705717038645	10	9
rope	0.156331007232238	0.280297453564856	0.320945550362034	57	26
secured	0.540969236725915	0.836630935915599	0.996292646773442	15	13
stripped	0.206801313291623	0.727492671637223	0.756314994208765	11	9
leap	0.101480265541425	0.525722520797468	0.535427318286995	13	9
swimming	0.187071665007246	0.486842796373858	0.521547424717735	28	18
matters	10.4321467685774	0.991262703030032	10.4791358397322	13	13
use	1.54007267820627	0.862034289084658	1.76491557013788	35	29
send	0.166814402536154	0.645655967534384	0.666857311054063	13	10
leak	0.0202289698855465	0.170249759230372	0.171447343929937	14	5
cask	0.0629107423059895	0.448160198562144	0.452554223350916	11	7
prairie	0.133597640753185	0.612543751406432	0.626943519786178	12	9
backs	0.166814402536154	0.645655967534384	0.666857311054063	13	10
wondrous	1.98921655995486	0.870555396796085	2.17137035562555	42	34
direction	0.540969236725915	0.836630935915599	0.996292646773442	15	13
setting	0.265867748313304	0.758808249912153	0.804037076090357	12	10
nantucketers	0.471663317714518	0.870086846850079	0.989705717038645	10	9
grown	0.180107750608636	0.561165366993876	0.589360136879543	20	14
captured	0.540969236725915	0.836630935915599	0.996292646773442	15	13
cod	0.0316586070026959	0.25695361553527	0.258896558366462	13	6
declared	0.428197671805254	0.812843242263324	0.918731398523308	14	12
english	0.122449243728259	0.27430849105181	0.300398011898787	46	21
globe	1.49632028967214	0.917915128377851	1.75543230920176	19	17
nantucketer	0.297434762815962	0.667908672345527	0.731142552944193	21	16
pirates	0.029321447275624	0.293967822253836	0.295426518428864	10	5
draw	0.913122102887121	0.915290408806593	1.29288379494614	12	11
fro	0.361453086816189	0.751193147303413	0.833630300867571	17	14
hunters	0.552806635406361	0.744071463388981	0.926950656064885	27	22
smells	0.0827668146179723	0.494806349846604	0.501680844213257	12	8
strangely	1.12279248977713	0.846100812297202	1.40589813274999	29	24
sails	0.436190359819052	0.579199285400198	0.725075059705666	45	30
herds	0.158422428418196	0.692268088626906	0.710163905276147	10	8
hussey	0.00439506629080582	0.0375726962195661	0.0378288792975469	16	2
pots	0.0545368974008695	0.300815583631122	0.305719296959557	18	9
moreover	15.6935860509008	0.991119995792623	15.7248517316726	20	20
luck	0.0840597794531024	0.460220089036828	0.467833920184044	14	9
given	1.39337681134625	0.846059688791962	1.63012758255181	36	29
points	1.31227314973476	0.934780947042723	1.61117231805567	13	12
painted	9.62072209009542	0.991255741468079	9.67165350288375	12	12
front	0.151781661913775	0.483771588780142	0.507023296313069	23	15
impressions	0.158422428418196	0.692268088626906	0.710163905276147	10	8
vague	8.02473037887394	0.991262705341073	8.08572194702627	10	10
remaining	0.652617142225422	0.893890075612822	1.10677396138759	11	10
carrying	0.249918949211433	0.702902006191781	0.746009860178388	15	12
mrs	0.00482133486697032	0.0500718176440519	0.0503034013967112	13	2
mr	0.197680877263634	0.315151221893904	0.372018846158283	61	29
spread	0.355260120303256	0.668640711632118	0.757159266158573	25	19
leading	0.265867748313304	0.758808249912153	0.804037076090357	12	10
butter	0.206801313291623	0.727492671637223	0.756314994208765	11	9
food	0.193091225627135	0.661991363012233	0.689577251739777	14	11
moments	9.62072209009542	0.991255741468079	9.67165350288375	12	12
different	1.35383852963348	0.893142023200754	1.62190672910845	23	20
effect	0.459506404034616	0.813080894667014	0.933941473873677	15	13
headed	0.597635463118949	0.78676797111771	0.988014163437993	23	19
boiling	0.216052837343399	0.686658244829715	0.719846076405753	14	11
books	0.190270198828144	0.628067106914943	0.656255315674173	16	12
superior	3.17241341745791	0.967765392690956	3.31674188723772	15	14
shark	0.142040535444806	0.410212097938765	0.434107681347348	29	17
feeding	0.0784384529955833	0.52692494789974	0.532731162620964	10	7
nearest	8.02473037887394	0.991262705341073	8.08572194702627	10	10
demanded	0.150207227431756	0.680812396693037	0.697185578353176	10	8
barrels	0.0908777329658905	0.446455817178018	0.455611192840026	16	10
concern	0.158422428418196	0.692268088626906	0.710163905276147	10	8
yojo	0.0173366497198402	0.126510533793312	0.127692891674428	17	5
