word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
are.now	2.77992178814252	0.991264822655961	2.95136766547726	11	11	1	2.95136766547726	HighCPI
but.i	0.603391417946814	0.601883688286714	0.852258867643795	180	120	0.666666666666667	0.568172578429197	VLowCPI
if.you	0.507616308921661	0.604153408449116	0.789098002800625	150	102	0.68	0.536586641904425	VLowCPI
you.don	0.423333618764382	0.779521930607884	0.887054560370888	54	45	0.833333333333333	0.739212133642407	LowCPI
don.t	0.469419328744005	0.289729822455899	0.551632011597223	519	197	0.379576107899807	0.209386331955015	VLowCPI
t.tell	4.2961117221497	0.991264525795992	4.40898869235266	17	17	1	4.40898869235266	HighCPI
tell.me	0.27542791304924	0.623527266105618	0.681650047211769	75	55	0.733333333333333	0.49987670128863	VLowCPI
me.that	0.200550488063724	0.709685810525245	0.737478438954978	37	30	0.810810810810811	0.597955491044577	LowCPI
that.this	0.832269948132062	0.765474828032902	1.13076300740506	115	90	0.782608695652174	0.884944962317007	MediumCPI
try.to	6.24221580636355	0.984633741563006	6.31939568141126	44	42	0.954545454545455	6.03215042316529	HighCPI
to.defend	0.251325273408959	0.890062427713069	0.924865135184893	14	13	0.928571428571429	0.858803339814543	MediumCPI
by.that	0.226140688936588	0.809507592939135	0.840501132788545	24	21	0.875	0.735438491189977	LowCPI
he.is	0.495035341133488	0.421835816695575	0.650388687800127	306	158	0.516339869281046	0.335821610040589	VLowCPI
i.will	0.340449479801063	0.505835604731542	0.609733964373758	150	94	0.626666666666667	0.382099951007555	VLowCPI
will.have	0.433971287233199	0.920079098967473	1.01728886089431	17	16	0.941176470588235	0.95744833966523	MediumCPI
have.nothing	0.251325273408959	0.890062427713069	0.924865135184893	14	13	0.928571428571429	0.858803339814543	MediumCPI
nothing.more	0.887125644364757	0.950123529544704	1.29989485354934	21	20	0.952380952380952	1.23799509861842	MediumCPI
more.to	0.314855813192004	0.840234968884315	0.8972898004752	27	24	0.888888888888889	0.797590933755733	LowCPI
to.do	1.64833782672058	0.753648923770399	1.81245807987335	243	170	0.699588477366255	1.26797478838877	MediumCPI
do.with	0.904127178902515	0.931468634799688	1.29810622571722	30	28	0.933333333333333	1.21156581066941	MediumCPI
with.you	0.394762962083644	0.700831490564176	0.80436470235799	76	59	0.776315789473684	0.624441018935808	LowCPI
you.and	0.388545186847109	0.668234770321122	0.772984521506206	87	65	0.747126436781609	0.577517171240269	VLowCPI
and.you	0.41353785448864	0.626897413814411	0.751008604839029	111	79	0.711711711711712	0.534501619660209	VLowCPI
you.are	0.4115805507892	0.454264585454078	0.61298846921105	223	125	0.560538116591928	0.343603402024131	VLowCPI
are.no	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
no.longer	0.677292147761743	0.684181075281127	0.962719272266093	141	103	0.730496453900709	0.703263014492252	LowCPI
my.friend	0.0685124819122942	0.631898928442473	0.635602246648427	18	14	0.777777777777778	0.494357302948777	VLowCPI
as.you	0.340928689756232	0.678071880858612	0.758955760970319	73	56	0.767123287671233	0.582212638552574	VLowCPI
but.how	0.350356264121176	0.849469209669564	0.918883806574902	28	25	0.892857142857143	0.820431970156162	MediumCPI
how.do	0.158401175438826	0.772823085089565	0.788889379588643	21	18	0.857142857142857	0.676190896790266	LowCPI
do.you	0.449619155648838	0.447853924616477	0.634610528529708	250	137	0.548	0.34776656963428	VLowCPI
you.do	0.323766443103064	0.768442697165842	0.833863830914331	44	37	0.840909090909091	0.701203675996142	LowCPI
do.i	0.130078555039995	0.692911900115098	0.705015837979834	26	21	0.807692307692308	0.569435869137559	VLowCPI
i.see	0.370166279885985	0.814583011724938	0.894744967996747	38	33	0.868421052631579	0.777015366944543	LowCPI
see.i	5.30593180623017	0.991262709088321	5.39773231003484	21	21	1	5.39773231003484	HighCPI
i.have	0.581428025734695	0.420080298835568	0.717304681832989	362	178	0.49171270718232	0.352707826978652	VLowCPI
sit.down	0.113761766326478	0.581001577341528	0.592034266196699	37	27	0.72972972972973	0.432025005062456	VLowCPI
down.and	0.66858928673014	0.860210587354962	1.08948331282672	49	43	0.877551020408163	0.956077192888755	MediumCPI
and.tell	0.177872558164438	0.734481265853993	0.755712496150781	29	24	0.827586206896552	0.62541723819375	LowCPI
me.all	3.47501847160172	0.991122558410154	3.61359617331027	14	14	1	3.61359617331027	HighCPI
all.the	1.80147952185356	0.619037891152423	1.90487174852802	500	262	0.524	0.998152796228681	MediumCPI
the.news	0.450440278443758	0.766167833940414	0.888768583045911	62	51	0.82258064516129	0.731083834440991	LowCPI
it.was	1.53900704952699	0.439830155343472	1.60062277381126	884	318	0.35972850678733	0.575789640352919	VLowCPI
was.in	1.45099621910034	0.756181244456192	1.6362151760422	211	152	0.720379146919431	1.17869529269391	MediumCPI
the.speaker	0.0550277401317841	0.692887405332249	0.695069067540822	11	9	0.818181818181818	0.568692873442491	VLowCPI
was.the	2.16798559437114	0.765213414718159	2.29906787795955	300	199	0.663333333333333	1.5250483590465	MediumCPI
the.well	0.108322015814094	0.830084697843635	0.837122610317143	10	9	0.9	0.753410349285429	LowCPI
well.known	1.58424719479089	0.967491581856826	1.85630793112744	24	23	0.958333333333333	1.77896176733046	MediumCPI
anna.pávlovna	0.0152988538650642	0.0434056491196596	0.0460228780617162	152	21	0.138157894736842	0.00635842394273711	VLowCPI
of.honor	0.116919586927784	0.601052294325692	0.61231858564112	35	26	0.742857142857143	0.454865235047689	VLowCPI
the.empress	0.0293235218596015	0.398075392173789	0.399153963764067	20	12	0.6	0.23949237825844	VLowCPI
